account_id,account_holder_person_id,organization_id,bank_name,account_type,opened_date,status
ACC05,P007,,Metro Cooperative Bank,savings,2023-04-12,active
ACC13,P025,,State Trust Bank,savings,2023-08-20,active
ACC01,P003,,Metro Cooperative Bank,current,2023-10-08,active
ACC02,P001,,City Savings Bank,savings,2023-09-10,active
ACC03,P004,,State Trust Bank,business,2022-04-03,dormant
ACC04,P001,,Regional Growth Bank,current,2022-08-26,dormant
ACC06,P014,,Union Horizon Bank,business,2022-05-19,active
ACC07,P014,,State Trust Bank,business,2024-10-10,active
ACC08,P011,,National Bridge Bank,business,2023-08-12,active
ACC09,P017,,City Savings Bank,business,2022-11-01,active
ACC10,P015,,City Savings Bank,business,2024-02-16,dormant
ACC11,P024,,National Bridge Bank,current,2024-07-24,active
ACC12,P022,,National Bridge Bank,savings,2023-06-27,active
ACC14,P026,,Metro Cooperative Bank,savings,2023-01-01,active
ACC15,P027,,Regional Growth Bank,business,2022-06-23,active
ACC16,P028,,State Trust Bank,business,2022-12-03,active
ACC17,P033,,City Savings Bank,savings,2022-04-04,dormant
ACC18,P033,,City Savings Bank,business,2022-04-22,dormant
ACC19,P029,,Metro Cooperative Bank,current,2023-06-17,active
ACC20,P031,,Union Horizon Bank,savings,2023-12-15,active
ACC21,P039,ORG09,National Bridge Bank,savings,2022-06-11,dormant
ACC22,P037,ORG09,Regional Growth Bank,savings,2022-08-11,active
ACC23,P040,ORG09,Regional Growth Bank,current,2024-01-16,active
ACC24,P045,,State Trust Bank,current,2023-05-09,active
ACC25,P040,,National Bridge Bank,current,2024-12-27,active
ACC26,P017,,State Trust Bank,current,2023-02-14,active
ACC27,P038,,Metro Cooperative Bank,current,2023-06-09,active
