phone_id,phone_number,owner_person_id,phone_type,active_from,active_to
PH003,9877397255,P003,mobile,2024-11-01,
PH010,7498960600,P011,mobile,2024-08-15,
PH004,7875270817,P004,mobile,2024-06-01,2026-02-15T23:59:59Z
PH029,7875270817,P028,mobile,2026-02-16,
PH020,8366278794,P022,mobile,2024-03-01,
PH021,8366278794,P024,mobile,2025-12-01,
PH001,9625663408,P007,mobile,2024-12-27,
PH002,9663485507,P003,voip,2025-05-27,
PH005,7724427023,P005,mobile,2025-02-18,
PH006,7913931238,P009,landline,2025-10-16,
PH007,8738609388,P002,landline,2025-08-18,
PH008,9474918827,P009,mobile,2025-01-04,
PH009,7430075289,P015,mobile,2024-10-26,
PH011,8500472902,P011,mobile,2024-03-17,
PH012,9784934389,P011,mobile,2024-08-18,
PH013,7200177038,P014,voip,2024-01-06,
PH014,8529469534,P010,voip,2025-03-16,
PH015,8746819792,P017,mobile,2024-06-21,
PH016,7062656326,P017,mobile,2025-04-15,
PH017,7778172697,P020,mobile,2024-11-17,
PH018,7694691821,P026,mobile,2025-09-03,
PH019,8285180304,P020,mobile,2024-04-27,
PH022,9605848253,P023,mobile,2024-03-10,
PH023,9839550588,P025,mobile,2024-10-25,
PH024,7218253940,P024,mobile,2024-08-14,
PH025,9563849944,P036,landline,2025-04-04,
PH026,8737690322,P033,mobile,2025-06-13,
PH027,8773906242,P033,mobile,2024-09-19,
PH028,9717458620,P035,voip,2024-04-17,
PH030,9916451186,P029,landline,2024-07-27,
PH031,8122539345,P031,landline,2024-04-21,
PH032,7968061618,P028,mobile,2024-07-07,
PH033,9821130848,P037,mobile,2024-11-08,
PH034,8698124599,P037,mobile,2024-04-12,
PH035,7502336752,P037,mobile,2024-08-16,
PH036,8099504984,P042,landline,2025-02-08,
PH037,7607455893,P041,voip,2025-12-23,
PH038,9913858614,P038,voip,2024-11-05,
PH039,8925541318,P038,mobile,2024-02-25,
PH040,9281469679,P045,voip,2024-10-13,
